13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
18376,to walk | cjk ideograph
18377,to walk, toddling, jump; leap | cjk ideograph
18378,short strides, with rapid strides, swiftly; quickly | cjk ideograph
18379,to press forward; to go in haste; to run quickly | cjk ideograph
18380,(standard form) diverging, to go, to walk | cjk ideograph
18381,to walk; to travel, to go | cjk ideograph
18383,to jump; to leap; to bounce; to spring, to run over; to oppress | cjk ideograph
18384,to walk, agile; adroit, a method of wielding the brush in writing chinese characters | cjk ideograph
18385,walking rapidly, (ancient form of 躍) to jump; to leap; to bound; to spring | cjk ideograph
18386,coiled; curled; not stretched; contracted | cjk ideograph
18387,to walk slowly, lame; crippled, long and thin legs, to walk alone, to insist on one's ways in doing things | cjk ideograph
18388,(same as 赴) to go to; to attend (same as 踣) to stumble and fall prone, stiff in death | cjk ideograph
18389,to step upon; to tread upon; to trample, a path branching out from the main road; a diverging road | cjk ideograph
18390,erroneous variant of 趾[zhi3] | cjk ideograph
18391,to stand for a long time, to accumulate; to amass; to store up | cjk ideograph
18392,to straighten; to stretch out | cjk ideograph
18393,to stagger; to fall; to drop; to stumble | cjk ideograph
18394,(same as 踑) to sit with the legs spread out; to squat with the legs crossed, traces; footsteps, to follow up; to search out | cjk ideograph
18395,walking rapidly; in a hurry, to stride over; to step across | cjk ideograph
18396,break; damage, wound of the foot, to walk | cjk ideograph
18397,to walk right into | cjk ideograph
18398,to falter; to hesitate | cjk ideograph
18399,urgent; pressed for time | cjk ideograph
18400,swift; walking rapidly, (same as 越) to go beyond; to go across; to transgress; to skip | cjk ideograph
18401,to trample; to tread down, (same as 胝) callosities on the hands or feet | cjk ideograph
18402,(non-classical form of 跈), (same as 踐) to step upon; to tread upon; to trample, (same as 趁) to take advantage, hard to proceeding | cjk ideograph
18403,an animal in legend, traces or footprints of an animal | cjk ideograph
18405,(same as 髳) luxuriant; exuberant; lush of the grass, trees and vegetation | cjk ideograph
18406,(non-classical of 跋) to walk; to travel, the heel | cjk ideograph
18407,sound of treading or stepping | cjk ideograph
18408,lame; crippled, to go across; to go beyond, hoofs of the animal | cjk ideograph
18409,hard of walk forward | cjk ideograph
18410,(same as 覂) repeatedly; over and over again | cjk ideograph
18411,(cant.) to press down or push out with the foot; to pedal, kick, tread, step on | cjk ideograph
18412,to walk | cjk ideograph
18413,(non-classical form of 跳) to jump; to leap; to bounce; to spring, (same as 阼) the main steps; the throne; the steps leading to the eastern door | cjk ideograph
18414,(same as 匐) to crawl on hands and knees, to fall in ruins; to slip down | cjk ideograph
18415,to tread on, to kick | cjk ideograph
18416,to walk | cjk ideograph
18417,(same as 迹) traces, footsteps, to follow up; to search out | cjk ideograph
18420,to shake; to vibrate; to move, to be shocked or shaken | cjk ideograph
18421,to tread on | cjk ideograph
18422,(same as 蓌) to squat; to crouch, setback; defeat; failure; not doing well; disappointed; very discouraged; frustrated | cjk ideograph
18423,to jump; to leap; to bounce; to spring, to pass over; to go beyond; to transgress; to exceed, lame; crippled | cjk ideograph
18424,the calf; muscles; tissue of the part of leg between the knee and ankle, to stumble; to slip, the instep, to jump; to leap, a disease of the feet | cjk ideograph
18425,to hop about; to fling oneself about in temper, to pass over; to go beyond; to exceed | cjk ideograph
18426,walk slowly because of the wrong position of the feet, (same as 狽) a kind of wolf with shorter forelegs, lame; crippled | cjk ideograph
18427,bare feet; bare-footed, to walk in bare feet, hard to go forward | cjk ideograph
18428,footprints; track, whereabout | cjk ideograph
18429,(same as 疏) scattered or dispersed | cjk ideograph
18430,to jump; to leap; to bounce; to spring, (same as u+47b5 䞵) | cjk ideograph
18431,to reverence; to respect, (same as 蹗) to walk | cjk ideograph
18432,to sit cross-legged like a buddhist priest | cjk ideograph
18433,(same as 躋) to go up; to rise; to ascend | cjk ideograph
18434,(same as 楚) name of a powerful feudal state which existed 740-330 b.c. | cjk ideograph
18435,to squat; to crouch | cjk ideograph
18436,to walk, tracks or whereabouts, disease of the feet | cjk ideograph
18437,hands and feet chapped from the cold | cjk ideograph
18438,to kowtow; to kneel and make obeisance | cjk ideograph
18439,strong; robust; healthy | cjk ideograph
18440,hard to move forward, to trample; to tread upon | cjk ideograph
18441,(same as 逭) to run away or escape from; to flee; to avoid | cjk ideograph
18442,to cut off the feet (one of the five punishments in ancient times) | cjk ideograph
18443,bell shaped with large base, (ancient form of u+9ac0 髀) buttocks, hipbone; innominate bone; (cant.) to stagger | cjk ideograph
18445,at the feet; to learn; now, shoes, (dialect) to take a stride, to sit astride on; to straddle; to ride, to stride over (a ditch, etc.) | cjk ideograph
18446,narrow; small, dirty | cjk ideograph
18447,feet; (same as u+47f8 䟸) the calf; muscles; tissue of the part of leg between the knee and ankle, a disease of the feet | cjk ideograph
18448,to squat; to crouch, to move elastically; to be easily bent and stretched; to be flexible: (figuratively) to submit or rise according to circumstances | cjk ideograph
18449,between the buttocks; the stride made by a man | cjk ideograph
18450,courtesy of a minority group in ancient times, to fall, drop, or go down, on one's knees; to kneel down | cjk ideograph
18451,(same as 趥) to walk, to crawl on hands and knees | cjk ideograph
18452,far and deep | cjk ideograph
18453,rapid marching or running; to go quickly, to tread upon; to trample; to step upon | cjk ideograph
18455,lame; crippled, to jump; to leap, to walk | cjk ideograph
18456,one-legged, crippled; halt, a mate; to mate | cjk ideograph
18457,urgent; hurriedly | cjk ideograph
18458,to step on the ground with a bang, hard to go forward; limping, to scrape; to move along the side of | cjk ideograph
18459,to jump; to leap; to spring; to bounce | cjk ideograph
18460,to walk | cjk ideograph
18461,to stand up, to establish | cjk ideograph
18462,wrinkled; contracted; to draw together, urgent; imminent; sad; sorrowful | cjk ideograph
18463,to trip up; to be hindered; to stroll | cjk ideograph
18464,to go, to walk in one leg; leap; crippled, (ancient form of 逝) to pass; to be gone; to depart, (interchangeable 滯) in a standstill; stagnant; impeded; blocked | cjk ideograph
18465,sound of footsteps; to tread on; to stamp, to stagger; to fall; to drop; to stumble, to stop up; to gag; blocked | cjk ideograph
18466,weary; tired; fatigued, lime; crippled, to stumble and fall | cjk ideograph
18467,net to trap the animals | cjk ideograph
18468,toddle, to fall; fallen; prostrate | cjk ideograph
18469,(same as u+8e69 蹩) to limp; lame | cjk ideograph
18470,(non-classical form of 躓) to stumble; to trip, to be frustrated | cjk ideograph
18471,hard to go forward, stop; to delay | cjk ideograph
18472,walking rapidly, (said of a horse) | cjk ideograph
18473,to urinate; to pass urine; to empty the bladder; to make water; weary, tired, fatigued | cjk ideograph
18474,footprints; track, to trample, to walk far and fast | cjk ideograph
18475,to succumb to the effect of alcohol; to walk unsteadily (said of drunkards) | cjk ideograph
18476,insomnia, to exhaust; highest; farthest | cjk ideograph
18477,lame; crippled, to stumble | cjk ideograph
18478,(same as 騰) to prance; to rear; to leap; to jump, to go up, to turn over | cjk ideograph
18479,to ascend; to climb; to rise, to step on; to tread on; to walk upon, to pull out; to uproot, to promote, to jump; to leap | cjk ideograph
18480,(same as 踡) coiled; curled; drawn together; not stretched, (dialect) to surround; to encircle; to enclose | cjk ideograph
18481,(same as 蠋 躅) to walk slowly and cautiously; to limp | cjk ideograph
18482,(non-classical form of 聆) to listen; to hear | cjk ideograph
18483,to walk, (corrupted form of 邪 射) evil, to shoot | cjk ideograph
18484,with a symmetric well-formed; upright; respectable; proper carriage | cjk ideograph
18485,to wear clothes | cjk ideograph
18486,(same as 射) to project; to shoot out, to aim at | cjk ideograph
18487,the appearance of height in a person | cjk ideograph
18488,obsequious; servile; fawning, to obey; obedient; to comply | cjk ideograph
18489,(non-classical form of 骸) shinbone, skeleton | cjk ideograph
18491,to bend the body, to employ as a servant, (non-classical form of 竆) (same as 窮) poor | cjk ideograph
18492,to wear; to put on clothes | cjk ideograph
18493,height or stature of a person, tall; a tall trunk, (dialect) to sit down and take some rest | cjk ideograph
18494,to dodge; to ward off | cjk ideograph
18495,name of a person, (non-classical form of 聵) deaf; born deaf | cjk ideograph
18496,nude; naked; without a stitch on, to shake; to tremble or shiver; to vibrate | cjk ideograph
18497,not well-formed figure, incorrect; unrespectable; improper physical build | cjk ideograph
18498,the long wooden bumper at the rear of a cart or carriage | cjk ideograph
18499,a tool for brushing the thread, ornamental; brilliant | cjk ideograph
18501,something used to bind the frame work in a cart (compartment) of old times, (same as 輴) a hearse; a funeral carriage, (interchangeable 巡) to inspect (said of ranking officials) | cjk ideograph
18502,a moving cart | cjk ideograph
18503,(same as 軏) the cross-bar at the end of the pole of a carriage | cjk ideograph
18504,the cross-bar at the sides of a carriage, (same as 較) to compare | cjk ideograph
18505,a kind of cart | cjk ideograph
18506,the protruded sides of a carriage (used in ancient times to screen off muddy dust) | cjk ideograph
18507,(same as 軝) decoration on the nave or hub of a wheel | cjk ideograph
18508,(same as 鞃) horizontal front bar on a cart or carriage, leaning board in a sedan chair | cjk ideograph
18509,the linch-pin of a wheel | cjk ideograph
18510,(non-classical of 轤) a windlass; a pulley; a capstan | cjk ideograph
18511,(same as 鞃) horizontal front bar on a cart or carriage, leaning board in a sedan chair | cjk ideograph
18512,to move swiftly; to dart; to fleet; to drive very fast | cjk ideograph
18513,the rim or felloe of a wheel; a tire, a yoke, a collar | cjk ideograph
18514,sound of moving carriages; noise of a number of vehicles | cjk ideograph
18515,shake of a cart, awning in front of a cart, covering the horse or mule in the shafts, (same as 軒) high front of a chariot or carriage | cjk ideograph
18516,to hinder; to impede; to interfere with, to obstruct | cjk ideograph
18517,the rear platform of a light carriage, a subordinate cart | cjk ideograph
18518,still, motionless | cjk ideograph
18519,rim of a wheel; felly; felloe, (or a wheel) to run over, to oppress, the shafts of a cart or carriage | cjk ideograph
18520,sound of moving carriages | cjk ideograph
18521,an armed carriage; a military cart; cart used by the soldiers | cjk ideograph
18522,implements; equipment to catch the birds and animals, to entice; to tempt, to exchange; to trade | cjk ideograph
18523,(corrupted form) name of a carriage | cjk ideograph
18524,car (of a train); compartment; the inside of a cart, axis; pivot; axle; an axletree | cjk ideograph
18525,a rear covering of a big carriage, an armed carriage; a military cart; cart used by the soldiers, name of a carriage | cjk ideograph
18526,leather that wind round on the shafts of a big carriage, (interchangeable 挶) a receptacle for earth | cjk ideograph
18527,a ring of the horizontal front bar on a carriage; to control the wheel | cjk ideograph
